QUESTIONS,INTENT,NER DATA,Updated_NER,small_talk_questions,small_talk_answer
How many faculty are there in this college?,Faculty,give me data about faculties in the electronics department,give me data about faculties in the electronics department,hii,hello
Give information about the teaching staff?,Faculty,who are faculties in the electronics,give me data about faculties in the computer department,hii how are you,"i am fine , thank you for asking"
Who is the HOD?,Faculty,how many faculy members are their in the electronics department,give me data about faculties in the IT department,hii who are you,"I am addbot, i can help you with getting to know the college better"
Who is the head of the department?,Faculty,give me informatiojn about the electronics faculty,give me data about faculties in the EXTC department,hii who made you,i was made by the almighty great akash
how many teaching faculty are there in total?,Faculty,who teaches courses in the electronics,give me data about faculties in the Mech department,hii are you human,"I am addbot, i was created by the almighty great akash "
Give some information about the faculty.,Faculty,who is the electronics head of the department,who are faculties in the electronics department,hii can you help me,"sure , how can i help you "
What are the qualifications of the teaching faculty?,Faculty,what is the basic qualification in the electronics department,who are faculties in the computer department,hii I need some help,please tell me how i can help you
who are the faculty in the college,Faculty,does the eletronics branch offer student exchange programs,who are faculties in the IT department,hii I need some information,"sure , how can i help you "
where is the faculty located,Faculty,what is the faculty student ratio in electronics,who are faculties in the EXTC department,hey,hello
can i approch faculty for research project,Faculty,how good is the electronics infrastrucutre,,hey how are you,"i am fine , thank you for asking"
how can i apply as a facutly member,Faculty,examination in the electronics department,,"hey , good morning",hello
what is the hiring pattern for teachers,Faculty,how many students are available in electronics,,hey what is your name,hello  i am addbot created by the almighty great akash
what are the english language proffiency requirements for teachers,Faculty,electronics branch is on what floor,,hey how human are you,i am addbot created by the almighty great akash
what is the student facuty ratio,Faculty,how many students are present in electronics branch,,hello,hello
how accessible are faculty to students,Faculty,does electronics branch have a hostel facilty,,hello how are you,"i am fine , thank you for asking"
,,can I apply as a teacher in electronics branch,,hello who are you,i am addbot created by the almighty great akash
,,when does the electronics department hold its examination,,hello I need some help,"sure , how can i help you "
,,electronics branch has how many faculty members,,hello can you help me,"sure , how can i help you "
How many buildings are there in the college?,infrastructure,how many labs does the electronics department have,,who made you,i am addbot created by the almighty great akash
Can you tell us about the college infrastructure?,infrastructure,what equipment does the electronics department have,,good morning,hello
How is the college infrastructure divided?,infrastructure,does the electronics department have adequate equipment,,good evening,hello
What different types of labs are there for the students to learn in ?,infrastructure,how is the syllabus for electronics second year,,good night,good night
What are the different type of labs available?,infrastructure,what is the course content for electronics branch,,thank you,can i help you with something else
